Name: juniyasyos/siimut
Version: dev-main 2dce718
Licenses: MIT
Dependencies:

Name                                         Version   Licenses                                 
anourvalar/eloquent-serialize                1.3.8     MIT                                      
asmit/resized-column                         v1.1.0    MIT                                      
aws/aws-crt-php                              v1.2.7    Apache-2.0                               
aws/aws-sdk-php                              3.383.1   Apache-2.0                               
bacon/bacon-qr-code                          v3.1.1    BSD-2-Clause                             
barryvdh/laravel-debugbar                    v3.16.5   MIT                                      
barryvdh/laravel-ide-helper                  v3.7.0    MIT                                      
barryvdh/reflection-docblock                 v2.4.1    MIT                                      
bepsvpt/secure-headers                       9.1.0     MIT                                      
bezhansalleh/filament-language-switch        3.1.1     MIT                                      
bezhansalleh/filament-shield                 3.9.10    MIT                                      
blade-ui-kit/blade-heroicons                 2.7.0     MIT                                      
blade-ui-kit/blade-icons                     1.10.0    MIT                                      
brianium/paratest                            v7.8.5    MIT                                      
brick/math                                   0.14.8    MIT                                      
calebporzio/sushi                            v2.5.4    MIT                                      
carbonphp/carbon-doctrine-types              3.2.0     MIT                                      
composer/class-map-generator                 1.7.3     MIT                                      
composer/pcre                                3.3.2     MIT                                      
composer/semver                              3.4.4     MIT                                      
danharrin/date-format-converter              v0.3.1    MIT                                      
danharrin/livewire-rate-limiting             v2.2.0    MIT                                      
dasprid/enum                                 1.0.7     BSD-2-Clause                             
dedoc/scramble                               v0.12.36  MIT                                      
dflydev/dot-access-data                      v3.0.3    MIT                                      
diogogpinto/filament-auth-ui-enhancer        v1.0.2    MIT                                      
doctrine/dbal                                4.4.3     MIT                                      
doctrine/deprecations                        1.1.6     MIT                                      
doctrine/inflector                           2.1.0     MIT                                      
doctrine/lexer                               3.0.1     MIT                                      
dragonmantank/cron-expression                v3.6.0    MIT                                      
dutchcodingcompany/filament-socialite        2.4.0     MIT                                      
egulias/email-validator                      4.0.4     MIT                                      
ezyang/htmlpurifier                          v4.19.0   LGPL-2.1-or-later                        
fakerphp/faker                               v1.24.1   MIT                                      
fidry/cpu-core-counter                       1.3.0     MIT                                      
filament/actions                             v3.3.52   MIT                                      
filament/filament                            v3.3.52   MIT                                      
filament/forms                               v3.3.52   MIT                                      
filament/infolists                           v3.3.52   MIT                                      
filament/notifications                       v3.3.52   MIT                                      
filament/spatie-laravel-media-library-plugin v3.3.52   MIT                                      
filament/spatie-laravel-settings-plugin      v3.3.52   MIT                                      
filament/support                             v3.3.52   MIT                                      
filament/tables                              v3.3.52   MIT                                      
filament/upgrade                             v4.11.6   MIT                                      
filament/widgets                             v3.3.52   MIT                                      
filp/whoops                                  2.18.4    MIT                                      
firebase/php-jwt                             v6.11.1   BSD-3-Clause                             
fruitcake/php-cors                           v1.4.0    MIT                                      
graham-campbell/result-type                  v1.1.4    MIT                                      
guava/filament-modal-relation-managers       1.4.0     MIT                                      
guzzlehttp/guzzle                            7.10.5    MIT                                      
guzzlehttp/promises                          2.4.1     MIT                                      
guzzlehttp/psr7                              2.10.4    MIT                                      
guzzlehttp/uri-template                      v1.0.6    MIT                                      
hamcrest/hamcrest-php                        v2.1.1    BSD-3-Clause                             
icetalker/filament-table-repeater            v1.4      MIT                                      
jaybizzle/crawler-detect                     v1.3.11   MIT                                      
jean85/pretty-package-versions               2.1.1     MIT                                      
jeffgreco13/filament-breezy                  v2.6.4    MIT                                      
jenssegers/agent                             v2.6.4    MIT                                      
juniyasyos/auth-bridge-client                v1.2.18   MIT                                      
